topic_title,topic_title_short
Abwasserreinigungsanlagen (ARA) mit Finanzkennzahlen,ARAF
Abwasserreinigungsanlagen (ARA) ohne Finanzkennzahlen,ARA
Amtliche Vermessung,AV
Bewirtschaftungseinheiten,BewE
"Biodiversitätsförderflächen, Qualitätsstufe II und Vernetzung",BdF
Elektrische Anlagen mit einer Nennspannung von über 36 kV,EAl36
Fixpunkte (Kategorie 2),FP
Fruchtfolgeflächen,FFF
Gefahrenkarten,Gk
Gewässerraum,Gwr
Grundwasservorkommen,Gwv
Holznutzungsbewilligung,Hnb
Inventar der bestehenden Wasserentnahmen,IbWe
Kantonale Erhebungen Gewässerzustand: Standorte der Messstationen,GwSt
Kantonale Klimakarte – Physiologisch äquivalente Temperatur (PET),PET
Kantonale Ausnahmetransportrouten,KAtr
Kataster der belasteten Standorte,KbS
Kommunale Entwässerungsplanung (GEP) mit Finanzkennzahlen,GEPF
Kommunale Entwässerungsplanung (GEP) ohne Finanzkennzahlen,GEP
Landw. Bewirtschaftung: Elemente mit Landschaftsqualität,ELq
Leitungskataster,LK
Luftbild,LB
Lärmempfindlichkeitsstufen (in Nutzungszonen),LeS
Naturereigniskataster,NeK
Naturereigniskataster erweitert,NeKe
Nutzungsflächen,NF
Nutzungsplanung (kantonal / kommunal),NuP
Perimeter Landwirtschaftliche Nutzfläche und Sömmerung,PLSF
Perimeter Terrassenreben,PTr
Planerischer Gewässerschutz,PGs
Planung der Revitalisierungen von Fliessgewässern,RFg
Planung der Revitalisierungen von Seeufern,RSu
Planung und Berichterstattung der Sanierung Wasserkraft,SWk
Planungszonen,Pz
Rebbaukataster,RbK
Richtpläne der Kantone,RPk
Richtplanung erneuerbare Energien,ReE
Rodungen und Rodungsersatz,RuR
Rohrleitungsanlagen,RlA
Statische Waldgrenzen,SWG
Stromversorgungssicherheit: Netzgebiete,SNG
Versorgungsgebiete thermische Netze,VtN
Waldabstandslinien,WaL
Waldreservate,Wr
Wildruhezonen,WrZ
